EmployeeName,Department,Salary,OverTimeHours,Date
John Doe,HR Manager,77788,1,1/1/2023
Jane Smith,Pediatrics,91586,8,1/1/2023
Alice Johnson,Receptionist,64111,10,1/1/2023
Emily Davis,Ambulance Driver,77033,2,1/1/2023
Charles Anderson,ICU,63240,7,1/1/2023
Barbara White,Cardiology,78185,7,1/1/2023
CClerkistopher Harris,Clerk,65577,6,1/1/2023
Daniel Thompson,Neurology,71097,8,1/1/2023
Karen Garcia,Engineering,68110,8,1/1/2023
Betty Robinson,Orthopedics,92068,2,1/1/2023
James Lewis,Emergency Unit,74433,7,1/1/2023
Jessica Lee,Medical-Surgical Unit,58276,0,1/1/2023
David Walker,Gastrology,93316,2,1/1/2023
Laura Young,Dentist,54896,10,1/1/2023
Joseph King,Finance,92445,1,1/1/2023
Karen Wright,Onocology,70712,8,1/1/2023
John Doe,HR Manager,69648,7,1/2/2023
Jane Smith,Pediatrics,81052,7,1/2/2023
Alice Johnson,Receptionist,73129,10,1/2/2023
Emily Davis,Ambulance Driver,95345,3,1/2/2023
Charles Anderson,ICU,83083,0,1/2/2023
Barbara White,Cardiology,96479,8,1/2/2023
CClerkistopher Harris,Clerk,83107,7,1/2/2023
Daniel Thompson,Neurology,89402,1,1/2/2023
Karen Garcia,Engineering,97041,1,1/2/2023
Betty Robinson,Orthopedics,75607,9,1/2/2023
James Lewis,Emergency Unit,76371,1,1/2/2023
Jessica Lee,Medical-Surgical Unit,55996,1,1/2/2023
David Walker,Gastrology,71908,6,1/2/2023
Laura Young,Dentist,67290,5,1/2/2023
Joseph King,Finance,64896,0,1/2/2023
Karen Wright,Onocology,80381,3,1/2/2023
John Doe,HR Manager,92376,1,1/3/2023
Jane Smith,Pediatrics,99626,10,1/3/2023
Alice Johnson,Receptionist,59349,3,1/3/2023
Emily Davis,Ambulance Driver,73863,8,1/3/2023
Charles Anderson,ICU,63079,7,1/3/2023
Barbara White,Cardiology,85140,9,1/3/2023
CClerkistopher Harris,Clerk,92917,3,1/3/2023
Daniel Thompson,Neurology,84503,9,1/3/2023
Karen Garcia,Engineering,53760,7,1/3/2023
Betty Robinson,Orthopedics,50380,8,1/3/2023
James Lewis,Emergency Unit,50599,3,1/3/2023
Jessica Lee,Medical-Surgical Unit,74966,10,1/3/2023
David Walker,Gastrology,82375,1,1/3/2023
Laura Young,Dentist,90499,6,1/3/2023
Joseph King,Finance,73458,6,1/3/2023
Karen Wright,Onocology,55661,5,1/3/2023
John Doe,HR Manager,89543,0,1/4/2023
Jane Smith,Pediatrics,92776,0,1/4/2023
Alice Johnson,Receptionist,90602,0,1/4/2023
Emily Davis,Ambulance Driver,73807,5,1/4/2023
Charles Anderson,ICU,97954,0,1/4/2023
Barbara White,Cardiology,96061,10,1/4/2023
CClerkistopher Harris,Clerk,82818,9,1/4/2023
Daniel Thompson,Neurology,59325,8,1/4/2023
Karen Garcia,Engineering,94308,2,1/4/2023
Betty Robinson,Orthopedics,62284,2,1/4/2023
James Lewis,Emergency Unit,82863,6,1/4/2023
Jessica Lee,Medical-Surgical Unit,64327,6,1/4/2023
David Walker,Gastrology,52004,7,1/4/2023
Laura Young,Dentist,94616,2,1/4/2023
Joseph King,Finance,53704,3,1/4/2023
Karen Wright,Onocology,70386,10,1/4/2023
John Doe,HR Manager,97888,2,1/5/2023
Jane Smith,Pediatrics,85275,1,1/5/2023
Alice Johnson,Receptionist,69963,0,1/5/2023
Emily Davis,Ambulance Driver,57258,2,1/5/2023
Charles Anderson,ICU,53588,2,1/5/2023
Barbara White,Cardiology,84175,3,1/5/2023
CClerkistopher Harris,Clerk,59348,6,1/5/2023
Daniel Thompson,Neurology,97405,10,1/5/2023
Karen Garcia,Engineering,91423,2,1/5/2023
Betty Robinson,Orthopedics,73953,9,1/5/2023
James Lewis,Emergency Unit,91706,3,1/5/2023
Jessica Lee,Medical-Surgical Unit,81524,3,1/5/2023
David Walker,Gastrology,94888,0,1/5/2023
Laura Young,Dentist,56558,1,1/5/2023
Joseph King,Finance,85071,0,1/5/2023
Karen Wright,Onocology,85690,3,1/5/2023
John Doe,HR Manager,90354,2,1/6/2023
